Filme,Diretor,Genero,Ano,Pais,Avaliacao,IMDb Rating
Lisbela e o prisioneiro,Guel Arraes,"Comédia, Romance",2003,Brasil,Bom,7.6
O homem que copiava,Jorge Furtado,"Comédia, Drama",2003,Brasil,Bom,7.6
Sobre meninos e lobos,Clint Eastwood,"Crime, Drama",2003,Estados Unidos,Muito bom,7.9
Garganta do diabo,Mike Figgis,"Crime, Drama",2003,Estados Unidos,Bom,5.0
Menina de ouro,Clint Eastwood,"Drama, Biografia",2004,Estados Unidos,Muito bom,8.1
Closer,Mike Nichols,"Drama, Romance",2004,Estados Unidos,Muito bom,7.2
Brilho eterno de uma mente sem lembranças,Michel Gondry,"Drama, Romance",2004,Estados Unidos,Bom,8.3
O terminal,Steven Spielberg,"Comédia, Drama",2004,Estados Unidos,Muito bom,7.4
Efeito borboleta,J. Mackye Gruber,"Drama, Ficção científica",2004,Estados Unidos,Muito bom,7.6
Crash,Paul Haggis,"Crime, Drama",2004,Estados Unidos,Muito bom,7.7
O diário de uma paixão,Nick Cassavetes,"Drama, Romance",2004,Estados Unidos,Muito bom,7.8
Mar adentro,Alejandro Amenábar,"Drama, Biografia",2004,Espanha,Muito bom,8.0
"Cinema, Aspirinas e Urubus",Marcelo Gomes,Aventura,2005,Brasil,Bom,7.3
Golpe baixo,Peter Segal,"Comédia, Drama",2005,Estados Unidos,Bom,6.4
O Labirinto do fauno,Guilhermo del Toro,Drama,2006,México,Bom,8.2
Click,Frank Coraci,"Comédia, Drama",2006,Estados Unidos,Bom,6.4
O despertar de uma Paixão,John Curran,"Drama, Romance",2006,Estados Unidos,Muito bom,7.4
O ilusionista,Neil Burger,"Crime, Drama",2006,Estados Unidos,Muito bom,7.5
Perfume - A história de um assasino,Tom Tykwer,"Crime, Drama",2006,Estados Unidos,Muito bom,7.5
O grande truque,Christopher Nolan,"Crime, Drama",2006,Estados Unidos,Muito bom,8.5
Os infiltrados,Martin Scorsese,"Crime, Drama",2006,Estados Unidos,Excelente,8.5
O plano perfeito,Spike Lee,"Crime, Drama",2006,Estados Unidos,Bom,7.6
A pequena miss shushine,Valerie Faris,"Comédia, Drama",2006,Estados Unidos,Bom,7.8
A procura da felicidade,Gabriele Muccino,"Drama, Biografia",2006,Estados Unidos,Excelente,8.0
Na natureza selvagem,Sean Penn,"Drama, Biografia",2007,Estados Unidos,Bom,8.1
Onde os fracos não tem vez,Joel e Ethan Coen,"Ação, Drama",2007,Estados Unidos,Excelente,8.2
Os indomáveis,James Mangold,Ação,2007,Estados Unidos,Bom,7.7
Estômago,Marcos Jorge,"Comédia, Drama",2007,Brasil,Muito bom,7.8
Tropa de Elite,José Padilha,Ação,2007,Brasil,Muito bom,8.0
Antes de partir,Rob Reiner,"Comédia, Drama",2008,Estados Unidos,Bom,7.4
"Não sou eu, eu juro",Philippe Falardeau,Drama,2008,França,Muito bom,7.5
O menino do pijama listrado,Mark Herman,"Drama, Guerra",2008,Estados Unidos,Muito bom,7.7
O curioso caso de Beijamin Button,David Fincher,"Drama, Romance",2008,Estados Unidos,Bom,7.8
Quem quer ser um milionário,Danny Boyle,"Drama, Romance",2008,Índia,Excelente,8.0
Sempre ao seu lado,Lasse Hallström,"Drama, Biografia",2009,Estados Unidos,Bom,8.1
Preciosa,Lee Daniels,Drama,2009,Estados Unidos,Muito bom,7.3
Bastardos Inglórios,Quentin Tarantino,"Drama, Guerra",2009,Estados Unidos,Muito bom,8.3
Um olhar do paraiso,Peter Jackson,Drama,2009,Estados Unidos,Bom,6.6
Sherlock Holmes,Guy Ritchie,Ação,2009,Estados Unidos,Bom,7.6
(500) dias com ela,Marc Webb,"Drama, Romance",2009,Estados Unidos,Muito bom,7.7
Avatar,James Cameron,Aventura,2009,Estados Unidos,Bom,7.9
Reflexões de um liquidificador,André Klotzel,Suspense,2010,Brasil,Bom,7.1
Ilha do medo,Martin Scorsese,Suspense,2010,Estados Unidos,Bom,8.2
A Origem,Christopher Nolan,"Ação, Ficção científica",2010,Estados Unidos,Muito bom,8.8
Tropa de Elite 2,José Padilha,Ação,2010,Brasil,Muito bom,8.0
O Discurso do Rei,Tom Hooper,"Drama, Biografia",2010,Estados Unidos,Bom,8.0
Deus da carnificina,Roman Polanski,Drama,2011,Estados Unidos,Bom,7.1
Cavalo de guerra,Steven Spielberg,"Drama, Guerra",2011,Estados Unidos,Muito bom,7.2
A separação,Asghard Farhadi,Drama,2011,Hungria,Bom,8.3
Sem limites,Neil Burger,"Ação, Ficção científica",2011,Estados Unidos,Muito bom,7.4
Tomboy,Céline Sciamma,Drama,2011,França,Bom,7.4
Precisamos falar sobre o Kevin,Lynne Ramsay,"Crime, Drama",2011,Estados Unidos,Muito bom,7.5
Os intocáveis,Eric Toledano,"Drama, Biografia",2011,França,Muito bom,8.5
O som ao redor,Kleber Mendonça,Drama,2012,Brasil,Bom,7.1
A caça,Thomas Vinterberg,Drama,2012,Dinamarca,Excelente,8.3
Django Livre,Quentin Tarantino,"Crime, Drama",2012,Estados Unidos,Muito bom,8.4
O lado bom da vida,David O. Russell,"Drama, Romance",2012,Estados Unidos,Bom,7.7
Tão forte tão perto,Stephen Daldry,Drama,2012,Estados Unidos,Bom,6.9
A pele de vênus,Roman Polanski,Drama,2013,Estados Unidos,Muito bom,7.1
Os suspeitos,Denis Villeneuve,"Crime, Drama",2013,Estados Unidos,Muito bom,8.1
O lobo de Wall street,Martin Scorsese,"Comédia, Biografia",2013,Estados Unidos,Muito bom,8.2
O lobo atrás da porta,Fernando Coimbra,"Crime, Drama",2013,Brasil,Muito bom,7.4
Capitão Philips,Paul Greengrass,"Crime, Biografia",2013,Estados Unidos,Bom,7.8
Questão de tempo,Richard Curtis,"Drama, Romance",2013,Inglaterra,Muito bom,7.8
Clube de compras dallas,Jean-Marc Vallée,"Drama, Biografia",2013,Estados Unidos,Muito bom,7.9
Serra Pelada,Heitor Dhalia,"Crime, Drama",2013,Brasil,Muito bom,7.0
Her,Spike Jonze,"Drama, Romance",2013,Estados Unidos,Bom,8.0
A esperança vem do lixo,Stephen Daldry,Aventura,2014,Brasil,Muito bom,7.1
Garota exemplar,David Fincher,Drama,2014,Estados Unidos,Muito bom,8.1
Gran hotel busda peste,Wes Anderson,Aventura,2014,Estados Unidos,Muito bom,8.1
Relatos selvagens,Damián Szifron,"Comédia, Drama",2014,Argentina,Muito bom,8.1
Uma nova amiga,François Ozon,"Drama, Romance",2014,Estados Unidos,Bom,6.5
Corações de Ferro,David Ayer,"Drama, Guerra",2014,Estados Unidos,Muito bom,7.5
Para sempre Alice,Richard Glatzer,Drama,2014,Estados Unidos,Bom,7.5
Interestelar,Chistopher Nolan,Drama,2014,Estados Unidos,Muito bom,8.6
Birdman,Alejandro G. Iñárritu,"Comédia, Drama",2014,Estados Unidos,Bom,7.7
Casa grande,Fellipe Barbosa,"Drama, Romance",2014,Brasil,Bom,6.8
Hoje eu quero voltar sozinho,Daniel Ribeiro,"Drama, Romance",2014,Brasil,Bom,7.9
O quarto de Jack,Lenny Abrahamson,Drama,2015,Irlanda,Bom,8.1
A visita,M. Night Shyamalan,Terror,2015,Estados Unidos,Bom,6.2
Brooklyn,John Crowley,"Drama, Romance",2015,Irlanda,Bom,7.5
A teoria de tudo,James Marsh,"Drama, Biografia",2015,Estados Unidos,Bom,7.7
Feras sem pátria,Cary Fukunaga,"Drama, Guerra",2015,Estados Unidos,Muito bom,7.7
Que horas ela volta,Anna Muylaert,Drama,2015,Brasil,Muito bom,7.7
Os oito odiados,Quentin Tarantino,"Crime, Drama",2015,Estados Unidos,Muito bom,7.8
O presente,Joel Edgerton,"Crime, Drama",2015,Estados Unidos,Bom,7.0
Cães de guerra,Todd Phillips,"Crime, Biografia",2016,Estados Unidos,Bom,7.1
Até o último homem,Mel Gibson,"Drama, Biografia",2016,Estados Unidos,Muito bom,8.1
Como eu era antes de você,Thea Sharrock,"Drama, Romance",2016,Estados Unidos,Bom,7.4
A garota no trem,Tate Taylor,Drama,2016,Estados Unidos,Muito bom,6.5
A grande aposta,Adam McKay,"Drama, Biografia",2016,Estados Unidos,Muito bom,7.8
Um contratempo,Oriol Paulo,"Crime, Drama",2016,Espanha,Muito bom,8.0
Três anúncios para um crime,Martin McDonagh,"Crime, Drama",2017,Estados Unidos,Muito bom,8.1
Os olhos da minha mãe,Nicolas Pesce,Terror,2017,Estados Unidos,Muito bom,6.2
Papillon,Michael Noer,"Crime, Biografia",2017,Estados Unidos,Bom,7.2
Corra,Jordan Peele,Suspense,2017,Estados Unidos,Muito bom,7.7
Extraordinário,Stephen Chbosky,Drama,2017,Estados Unidos,Muito bom,7.9
Cafarnaum,Nadine Labaki,Drama,2018,Líbano,Bom,8.4
Atentado ao Hotel Taj Mahal,Anthony Maras,"Ação, Drama",2018,Estados Unidos,Bom,7.6
Bohemian Rhapsody,Bryan Singer,"Drama, Biografia",2018,Estados Unidos,Muito bom,7.9
Milagre na cela 7,Mehmet Ada Öztekin,Drama,2019,Turquia,Muito bom,8.2
Bacurau,Kleber Mendonça,"Ação, Drama",2019,Brasil,Bom,7.3
Coringa,Todd Phillips,"Crime, Drama",2019,Estados Unidos,Muito bom,8.4
Parasita,Bong Joon Ho,"Crime, Drama",2019,Coreia,Muito bom,8.5
A ligação,Lee Chung-hyeon,"Crime, Terror",2020,Coreia,Bom,7.1
Druk,Thomas Vinterberg,"Comédia, Drama",2020,Dinamarca,Muito bom,7.7
King Richard,Reinaldo Marcus,"Drama, Biografia",2021,Estados Unidos,Muito bom,7.5
A pior pessoa do mundo,Joachim Trier,"Drama, Romance",2021,Noruega,Muito Bom,7.8
No ritmo do coração,Sian Heder,"Comédia, Drama",2021,Estados Unidos,Muito bom,8.0
Piggy,Carlota Martínez-Pereda,Terror,2022,Espanha,Bom,6.2
Um lugar bem longe daqui,Olivia Newman,"Drama, Romance",2022,Estados Unidos,Muito bom,7.2
Telefone preto,Scott Derrickson,"Crime, Terror",2022,Estados Unidos,Bom,6.9
A mão de Deus,Paolo Sorrentino,Drama,2021,Itália,,7.3
Elvis,Baz Luhrmann,"Drama, Biografia",2022,Estados Unidos,,7.3
Whitney Houston,Kasi Lemmons,"Drama, Biografia",2022,Estados Unidos,,6.6
Babel,Alejandro G. Iñárritu,Drama,2006,México,,7.5
Biutiful,Alejandro G. Iñárritu,"Drama, Romance",2010,México,,7.4
