|Papel|Cotação|P/L|P/VP|PSR|Div.Yield|P/Ativo|P/Cap.Giro|P/EBIT|P/Ativ Circ.Liq|EV/EBIT|EV/EBITDA|Mrg Ebit|Mrg. Líq.|Liq. Corr.|ROIC|ROE|Liq.2meses|Patrim. Líq|Dív.Brut/ Patrim.|Cresc. Rec.5a
24|APER3|43.49|-135.02|1.89|2.778|0,00%|1.079|-16.57|21.8|-4.36|22.09|14.84|12,74%|-2,17%|0.74|5,29%|-1,40%|65905.5|469071000.0|0.11|39,89%
25|MRVE3|7.14|-134.78|0.6|0.541|0,00%|0.16|0.67|14.42|-0.69|41.12|27.81|3,75%|-0,25%|2.07|1,16%|-0,44%|115282000.0|6745350000.0|1.16|4,17%
26|LCSA3|12.5|-120.23|-81.22|28.405|0,00%|44.638|-72.05|-180.18|-34.41|-180.95|-180.95|-15,77%|-23,63%|0.29|-28,74%|67,55%|0.0|-377568000.0|-0.35|6.354,07%
27|MAGG3|59.4|-119.98|1.32|0.684|0,00%|0.44|9.32|4.07|-1.55|6.41|5.34|16,82%|-0,57%|1.14|14,05%|-1,10%|0.0|2246130000.0|1.03|9,27%
28|SQIA3|27.37|-110.33|3.7|3.592|0,00%|1.49|25.87|62.33|-3.84|67.32|18.5|5,76%|-2,88%|1.43|2,81%|-3,35%|0.0|650717000.0|0.65|46,32%
29|PLAS3|6.1|-106.15|-0.19|0.08|0,00%|0.112|-0.29|-3.68|-0.09|-17.17|10.61|-2,18%|-0,08%|0.45|-3,67%|0,17%|11249.9|-409281000.0|-0.72|28,64%
30|ATOM3|2.24|-103.54|3.15|2.51|0,00%|2.055|2.18|-27.12|3.27|-17.17|-19.16|-9,26%|-2,42%|30.64|-32,48%|-3,04%|85020.4|16924000.0|0.0|19,39%
31|LINX3|37.4|-90.95|4.38|7.885|1,52%|2.745|11.96|53.17|47.06|51.49|22.97|14,83%|-8,67%|2.14|6,82%|-4,81%|0.0|1619010000.0|0.22|15,54%
32|BNCA3|70.3|-90.3|2.45|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-2,72%|0.0|3068150000.0|0.0|2,41%
33|HETA3|96.0|-77.22|-0.14|12.959|0,00%|3.761|-17.5|22.52|-0.14|171.82|171.82|57,54%|-16,78%|0.49|16,71%|0,18%|0.0|-351552000.0|-0.92|36,54%
34|AMIL3|32.2|-73.28|7.7|1.129|0,00%|2.003|-16.95|136.58|-5.43|138.61|50.13|0,83%|-1,53%|0.75|2,22%|-10,51%|0.0|1532980000.0|1.24|28,47%
35|BRTP3|35.71|-67.26|2.45|1.168|0,00%|0.684|8.98|6.03|-2.4|7.55|7.55|19,37%|-2,96%|1.29|13,41%|-3,64%|0.0|5302340000.0|0.91|3,66%
36|IDVL11|140.0|-66.0|60.56|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-91,76%|0.0|237683000.0|0.0|0,00%
37|CSNA3|14.03|-58.47|1.06|0.409|5,29%|0.203|2.31|2.49|-0.48|6.14|4.23|16,45%|0,89%|1.32|11,29%|-1,82%|112789000.0|17500700000.0|2.56|16,76%
38|NGRD3|1.04|-58.06|0.55|0.932|0,52%|0.383|1.57|285.3|4.29|114.41|3.96|0,33%|-2,05%|2.6|0,19%|-0,95%|588614.0|448125000.0|0.05|6,62%
39|BRFS3|16.65|-57.22|1.84|0.521|0,00%|0.489|3.98|13.15|-1.83|17.75|6.98|3,96%|-0,47%|1.37|6,22%|-3,21%|163508000.0|15228100000.0|1.3|12,17%
40|PEFX3|19.0|-52.04|1.68|0.477|0,00%|0.597|20.34|5.75|-3.18|6.59|0.0|8,30%|-0,92%|1.07|11,77%|-3,24%|0.0|396955000.0|0.31|4,36%
41|PEFX5|19.0|-52.04|1.68|0.477|0,00%|0.597|20.34|5.75|-3.18|6.59|0.0|8,30%|-0,92%|1.07|11,77%|-3,24%|0.0|396955000.0|0.31|4,36%
42|CLSA3|7.74|-51.94|2.02|2.885|0,00%|1.651|3.52|-17.19|3.67|-12.94|-27.21|-16,78%|-5,56%|3.88|-18,48%|-3,88%|11662500.0|720924000.0|0.05|13,21%
43|JBSS3|24.31|-50.82|1.24|0.148|4,11%|0.262|1.76|10.45|-0.67|24.8|8.06|1,42%|-0,20%|1.64|3,37%|-2,45%|177369000.0|43351100000.0|2.23|15,94%
44|MTIG4|23.0|-49.52|-359.15|56.001|0,00%|36.906|-50.93|-94.31|-44.0|-95.57|-104.6|-59,38%|-113,09%|0.27|-47,80%|725,28%|0.0|-7835380.0|-4.95|-26,54%
45|TOYB4|2.5|-47.96|-5.43|5.256|0,00%|4.405|-6.47|-9.04|-3.83|-9.15|-9.67|-58,16%|-10,96%|0.49|-59,36%|11,31%|0.0|-13852000.0|-0.07|-26,99%
46|IMBI3|5.01|-46.42|2.81|2659.02|0,00%|0.518|-2.21|-97.12|-0.37|-104.72|-107.45|-2.737,88%|-13.821,20%|0.05|-0,54%|-6,05%|0.0|62544000.0|0.22|-57,16%
47|CLAN4|3.0|-44.92|0.47|15.151|0,00%|0.406|-15.5|-82.56|-6.36|-97.43|22.68|-18,35%|-33,73%|0.73|-0,50%|-1,05%|0.0|1012240000.0|0.08|-63,96%
48|TOYB3|2.29|-43.94|-4.97|4.815|0,00%|4.035|-5.93|-8.28|-3.5|-8.39|-8.87|-58,16%|-10,96%|0.49|-59,36%|11,31%|0.0|-13852000.0|-0.07|-26,99%
49|EBTP3|10.21|-43.56|1.17|0.548|0,00%|0.353|-502.47|6.42|-0.73|8.46|2.85|8,53%|-1,03%|0.99|6,03%|-2,68%|0.0|10782200000.0|0.39|22,10%
50|EBTP4|10.0|-42.66|1.14|0.537|0,00%|0.346|-492.13|6.29|-0.71|8.33|2.81|8,53%|-1,03%|0.99|6,03%|-2,68%|0.0|10782200000.0|0.39|22,10%
51|HAPV3|4.04|-41.2|0.62|1.112|0,00%|0.405|15.31|51.26|-1.96|58.87|12.85|2,17%|-2,70%|1.23|0,88%|-1,51%|231461000.0|49092200000.0|0.23|51,94%
52|RCSL3|1.63|-40.08|435.89|3.656|0,00%|3.422|29.01|-68.5|-6.45|-68.32|-121.81|-5,34%|-9,13%|1.34|-5,31%|-1.087,60%|1972510.0|476000.0|0.0|37,43%
53|LWSA3|4.93|-39.91|1.02|2.276|0,00%|0.639|5.78|36.04|12.9|22.44|9.17|6,32%|-5,70%|1.35|2,42%|-2,56%|41131200.0|2882150000.0|0.03|38,62%
54|AURE3|11.71|-39.83|0.96|1.899|16,23%|0.423|5.41|13.32|-1.16|17.24|9.97|14,26%|-4,77%|1.68|3,63%|-2,41%|57571100.0|12223500000.0|0.53|38,43%
55|FBRA4|34.58|-39.57|1.66|0.457|0,00%|0.738|18.94|7.4|-4.43|10.62|10.62|6,18%|-1,15%|1.11|11,94%|-4,20%|0.0|213406000.0|0.77|12,48%
56|MAPT4|6.5|-39.56|-0.96|0.0|0,00%|7.728|-1194.7|-45.25|-0.85|-45.25|-45.25|0,00%|0,00%|0.0|-17,19%|2,42%|33993.8|-6244000.0|0.0|0,00%
57|BRTP4|20.81|-39.19|1.43|0.681|0,00%|0.399|5.23|3.51|-1.4|5.03|5.03|19,37%|-2,96%|1.29|13,41%|-3,64%|0.0|5302340000.0|0.91|3,66%
58|CRFB3|11.65|-38.2|1.27|0.222|0,73%|0.264|-292.4|6.5|-0.89|11.19|7.45|3,42%|-0,39%|1.0|5,49%|-3,33%|77622800.0|19301000000.0|1.25|16,84%
59|LIGH3|16.66|-38.1|6.33|0.499|0,00%|0.333|-0.65|6.19|-0.43|14.35|8.8|8,06%|-1,31%|0.25|6,00%|-16,62%|0.0|1033620000.0|8.74|2,29%
60|MAPT3|6.01|-36.58|-0.88|0.0|0,00%|7.145|-1104.64|-41.84|-0.79|-41.84|-41.84|0,00%|0,00%|0.0|-17,19%|2,42%|5815.22|-6244000.0|0.0|0,00%
61|ITEC3|40.1|-35.12|22.04|2611.69|0,00%|9.216|25.42|-26.0|-68.91|-24.8|-29.56|-10.044,70%|-7.435,88%|5.23|-63,06%|-62,76%|0.0|20143000.0|0.0|-74,79%
62|IMBI4|3.5|-32.43|1.96|1857.6|0,00%|0.362|-1.54|-67.85|-0.26|-75.44|-77.41|-2.737,88%|-13.821,20%|0.05|-0,54%|-6,05%|0.0|62544000.0|0.22|-57,16%
63|PRTX3|2.77|-32.27|-145.32|297.651|0,00%|1.4|-2.57|-97.11|-1.43|-128.99|37.19|-306,50%|-922,47%|0.05|-1,50%|450,37%|0.0|-18917000.0|-49.85|307,96%
64|OMGE3|27.57|-32.03|1.59|3.419|0,00%|0.543|10.86|12.56|-1.06|24.34|13.09|27,23%|-11,12%|1.72|4,69%|-4,95%|0.0|3483570000.0|1.66|38,73%
65|DFVA3|9.9|-31.38|60.69|4.327|0,00%|5.365|29.1|-55.91|-31.47|-58.28|-58.28|-7,74%|-13,79%|1.33|-10,35%|-193,42%|0.0|1170000.0|2.84|3,39%
66|AMBP3|10.63|-31.26|1.02|0.364|0,85%|0.153|0.64|1.77|-0.42|5.97|4.23|20,64%|1,16%|2.37|11,86%|-3,26%|15197500.0|1742600000.0|4.09|87,83%
67|BAHI3|7.85|-30.95|1.69|0.548|0,00%|0.348|-1.78|-36.9|-0.5|-51.78|26.3|-1,49%|-1,77%|0.33|-1,02%|-5,46%|38403.6|122640000.0|0.98|57,20%
68|ASTA4|25.83|-30.79|1.0|0.652|0,00%|0.446|2.57|19.9|-3.3|33.2|33.2|3,28%|-2,12%|1.71|2,52%|-3,25%|0.0|515672000.0|0.85|-4,73%
69|RNEW3|1.11|-29.98|0.3|1.215|0,00%|0.09|-0.93|2.38|-0.14|11.4|6.06|51,17%|-4,05%|0.32|3,90%|-0,99%|78770.9|933020000.0|1.15|31,75%
70|RNEW4|1.11|-29.98|0.3|1.215|0,00%|0.09|-0.93|2.38|-0.14|11.4|6.06|51,17%|-4,05%|0.32|3,90%|-0,99%|159333.0|933020000.0|1.15|31,75%
71|RNEW11|3.32|-29.89|0.3|1.212|0,00%|0.09|-0.92|2.37|-0.14|11.39|6.06|51,17%|-4,05%|0.32|3,90%|-0,99%|30919.1|933020000.0|1.15|31,75%
72|VGOR4|5.87|-29.58|7.18|1.229|0,00%|1.468|113.97|27.32|-3.22|34.09|34.09|4,50%|-4,59%|1.04|6,00%|-24,29%|0.0|135178000.0|1.89|4,77%
73|CRBM3|90.0|-28.95|3.26|1.498|0,00%|1.172|2.98|-15.45|16.9|-14.17|-14.17|-9,70%|-5,18%|2.24|-12,71%|-11,28%|0.0|827347000.0|0.45|-1,58%
74|BIOM3|18.24|-27.78|18.82|19.574|0,00%|6.712|52.45|-33.86|-24.75|-35.32|-35.32|-57,82%|-70,47%|1.52|-25,96%|-67,75%|2260630.0|122940000.0|1.25|77,61%
75|SEER3|5.63|-25.84|0.6|0.396|0,00%|0.208|3.32|3.1|-0.52|5.51|2.8|12,75%|-1,53%|1.33|7,40%|-2,32%|4765780.0|1209490000.0|0.71|10,69%
76|DFVA4|8.0|-25.35|49.04|3.497|0,00%|4.335|23.51|-45.18|-25.43|-47.55|-47.55|-7,74%|-13,79%|1.33|-10,35%|-193,42%|0.0|1170000.0|2.84|3,39%
77|PTBL3|6.27|-25.16|2.29|0.403|0,00%|0.268|83.47|8.13|-0.56|16.33|7.2|4,97%|-1,60%|1.01|4,81%|-9,10%|4357320.0|385934000.0|3.57|20,35%
78|OFSA3|22.18|-23.94|1.74|1.269|2,77%|0.936|2.01|12.22|5.0|13.52|9.87|10,38%|-5,30%|3.56|10,88%|-7,25%|169848.0|689374000.0|0.63|12,70%
79|MODL3|3.08|-22.99|1.88|0.0|0,71%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-8,17%|0.0|1154890000.0|0.0|-62,37%
80|TAMM4|52.73|-22.74|3.8|0.626|0,00%|0.524|-31.11|9.77|-0.96|18.01|9.66|6,41%|-2,21%|0.95|6,36%|-16,70%|0.0|2174310000.0|4.08|9,79%
81|TAMM3|52.6|-22.68|3.79|0.625|0,00%|0.523|-31.04|9.74|-0.96|17.98|9.65|6,41%|-2,21%|0.95|6,36%|-16,70%|0.0|2174310000.0|4.08|9,79%
82|KROT11|40.0|-21.76|0.92|1.844|0,00%|0.427|8.16|8.68|-1.44|13.52|8.78|21,26%|-8,79%|1.36|5,60%|-4,23%|0.0|11665400000.0|0.67|-4,05%
83|CASH3|4.6|-21.55|0.52|1.225|52,27%|0.409|0.66|-5.63|0.73|3.71|5.14|-21,76%|-7,82%|5.63|-22,96%|-2,39%|13378400.0|776479000.0|0.0|47,01%
84|TPIS3|3.86|-21.17|0.19|0.165|0,00%|0.06|-0.48|2.37|-0.1|22.82|6.51|6,95%|-1,02%|0.33|2,68%|-0,89%|166038.0|897436000.0|1.7|2,27%
85|MODL11|8.46|-21.05|1.72|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-8,17%|0.0|1154890000.0|0.0|-62,37%
86|LVTC3|3.86|-21.02|0.39|0.277|0,00%|0.184|0.72|1.4|-1.43|0.83|0.4|19,72%|-1,32%|2.74|15,38%|-1,87%|58431.8|635111000.0|0.0|7,08%
87|MODL4|2.72|-20.3|1.66|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-8,17%|0.0|1154890000.0|0.0|-62,37%
88|KROT4|5.12|-19.49|0.82|1.652|0,00%|0.382|7.31|7.77|-1.29|12.62|8.19|21,26%|-8,79%|1.36|5,60%|-4,23%|0.0|11665400000.0|0.67|-4,05%
89|CRBM7|60.0|-19.3|2.18|0.999|0,00%|0.782|1.99|-10.3|11.26|-9.02|-9.02|-9,70%|-5,18%|2.24|-12,71%|-11,28%|0.0|827347000.0|0.45|-1,58%
90|WMBY3|25.39|-19.3|2.87|0.836|0,00%|0.182|1.2|8.62|-1.5|25.02|25.02|9,70%|-7,05%|1.44|2,39%|-14,86%|0.0|212439000.0|6.51|-14,48%
91|TDBH4|0.66|-18.63|1.28|0.906|0,00%|0.811|-6.15|8.73|-5.66|10.23|10.23|10,38%|-4,86%|0.63|10,48%|-6,85%|0.0|554115000.0|0.27|35,74%
92|TANC4|43.0|-18.54|3.1|0.511|0,00%|0.428|-25.37|7.96|-0.78|16.2|8.69|6,41%|-2,21%|0.95|6,36%|-16,70%|0.0|2174310000.0|4.08|9,79%
93|CCIM3|5.52|-16.44|0.94|0.498|0,00%|0.198|0.53|8.96|-1.09|25.04|38.84|5,55%|-3,03%|2.58|2,38%|-5,75%|0.0|660347000.0|1.93|29,98%
94|CBEE3|10.0|-16.17|0.47|0.328|0,00%|0.14|-0.47|2.73|-0.27|9.07|5.06|12,00%|-2,03%|0.38|5,60%|-2,92%|5960.41|5377520000.0|1.18|7,55%
95|TEND3|12.41|-15.94|1.78|0.526|0,00%|0.336|1.55|7.98|-1.33|10.73|8.11|6,59%|-3,53%|1.64|5,21%|-11,15%|41860700.0|859524000.0|1.45|8,89%
96|TDBH3|0.56|-15.81|1.08|0.769|0,00%|0.688|-5.22|7.4|-4.8|8.91|8.91|10,38%|-4,86%|0.63|10,48%|-6,85%|0.0|554115000.0|0.27|35,74%
97|MNDL3|43.22|-15.7|0.73|0.128|0,00%|0.079|-0.65|1.25|-0.16|6.25|5.27|10,22%|-0,82%|0.76|6,80%|-4,66%|15640.3|146648000.0|2.93|15,92%
98|ESPA3|0.98|-15.33|0.41|0.352|0,00%|0.155|158.06|3.04|-0.75|9.13|5.21|11,59%|-2,54%|1.0|5,56%|-2,69%|892173.0|857790000.0|1.01|15,42%
99|GBIO33|10.4|-14.97|1.32|1.518|0,00%|0.791|7.57|13.53|17.58|16.06|16.06|11,21%|-10,14%|1.31|7,12%|-8,83%|0.0|838439000.0|0.31|-8,99%
100|DTCY3|5.2|-14.63|-14.48|9.138|0,00%|9.753|-31.91|-14.33|-7.64|-14.62|-29.16|-63,78%|-62,47%|0.57|-82,01%|99,00%|220.42|-3997000.0|-0.52|-16,00%
101|LECO4|1.46|-13.48|2.0|0.637|0,00%|0.924|-16.84|-29.69|-3.16|-32.69|-32.69|-2,14%|-4,72%|0.82|-3,48%|-14,82%|0.0|105928000.0|0.2|3,58%
102|SEDU3|23.8|-13.36|15.0|3.443|0,00%|1.531|57.9|-22.47|-2.67|-28.68|-69.64|-15,33%|-25,73%|1.09|-8,15%|-112,29%|0.0|415869000.0|4.67|10,87%
103|TESA3|48.0|-13.3|1.62|1.007|0,00%|0.523|-11.1|9.41|-1.35|15.25|10.09|10,71%|-7,58%|0.86|6,42%|-12,18%|0.0|858223000.0|1.04|15,48%
104|BIOM4|8.68|-13.22|8.96|9.315|0,00%|3.194|24.96|-16.11|-11.78|-17.57|-17.57|-57,82%|-70,47%|1.52|-25,96%|-67,75%|0.0|122940000.0|1.25|77,61%
105|PCAR4|72.11|-13.17|7.59|1.828|0,00%|1.694|53.15|28.67|-3.62|30.05|15.62|6,38%|-13,43%|1.12|7,95%|-57,58%|0.0|4660000000.0|0.98|-30,94%
106|ARTR3|10.01|-13.01|1.31|0.96|0,00%|0.304|-6.23|4.68|-0.45|13.61|6.93|20,53%|-7,38%|0.64|7,11%|-10,05%|0.0|4401740000.0|2.8|12,37%
107|IGUA3|8.15|-12.52|-1.44|0.568|0,00%|0.564|-0.65|8.22|-0.6|14.8|5.8|6,91%|-4,53%|0.34|7,61%|11,52%|0.0|-164188000.0|-1.33|-7,41%
108|FGUI3|12.0|-12.41|-2.15|16.009|0,00%|25.203|-2.2|-57.76|-2.05|-70.17|-70.17|-27,72%|-129,00%|0.04|-60,74%|17,32%|0.0|-222024000.0|-0.46|2,13%
109|IGUA6|8.07|-12.4|-1.43|0.562|0,00%|0.558|-0.64|8.14|-0.59|14.72|5.77|6,91%|-4,53%|0.34|7,61%|11,52%|0.0|-164188000.0|-1.33|-7,41%
110|PCAR5|67.12|-12.26|7.06|1.701|0,00%|1.577|49.47|26.68|-3.37|28.07|14.59|6,38%|-13,43%|1.12|7,95%|-57,58%|0.0|4660000000.0|0.98|-30,94%
111|IGUA5|7.98|-12.26|-1.41|0.556|0,00%|0.552|-0.64|8.04|-0.59|14.63|5.73|6,91%|-4,53%|0.34|7,61%|11,52%|0.0|-164188000.0|-1.33|-7,41%
112|MGLU3|1.61|-12.15|1.24|0.324|0,00%|0.318|4.23|20.38|-1.56|27.2|8.69|1,59%|-2,66%|1.16|2,36%|-10,19%|221425000.0|9610530000.0|0.77|15,89%
113|RCSL4|0.49|-12.05|131.03|1.099|0,00%|1.029|8.72|-20.59|-1.94|-20.42|-36.4|-5,34%|-9,13%|1.34|-5,31%|-1.087,60%|1633040.0|476000.0|0.0|37,43%
114|PRVI3|10.54|-11.74|1.61|0.919|0,00%|0.565|-250.86|9.71|-1.48|9.87|6.39|9,46%|-7,83%|0.99|6,15%|-13,71%|0.0|525170000.0|0.1|16,19%
115|ALPK3|3.9|-11.45|2.3|0.624|0,00%|0.337|-2.45|2.6|-0.47|6.35|3.69|24,03%|-5,02%|0.49|14,94%|-20,12%|483520.0|367314000.0|3.84|10,44%
116|SIMH3|6.39|-11.27|1.68|0.175|0,00%|0.08|0.82|1.15|-0.14|8.21|5.01|15,27%|-2,05%|1.45|9,30%|-14,89%|32736300.0|3326250000.0|13.62|39,22%
117|MTIG3|5.21|-11.22|-81.36|12.686|0,00%|8.36|-11.54|-21.36|-9.97|-22.62|-24.76|-59,38%|-113,09%|0.27|-47,80%|725,28%|0.0|-7835380.0|-4.95|-26,54%
118|CPNY3|2.35|-11.0|0.42|0.232|0,00%|0.054|0.2|1.21|-0.13|4.21|4.21|19,13%|-2,11%|2.26|5,48%|-3,86%|0.0|398830000.0|2.33|20,10%
119|PTBL4|2.59|-10.39|0.95|0.167|0,00%|0.111|34.48|3.36|-0.23|11.56|5.09|4,97%|-1,60%|1.01|4,81%|-9,10%|0.0|385934000.0|3.57|20,35%
120|ECPR4|90.74|-9.92|1.22|0.0|0,00%|0.624|175.57|-82.97|-1.29|-82.6|-82.72|0,00%|0,00%|2.97|-0,75%|-12,28%|0.0|141476000.0|0.0|0,00%
121|ECPR3|90.25|-9.87|1.21|0.0|0,00%|0.621|174.62|-82.52|-1.29|-82.15|-82.27|0,00%|0,00%|2.97|-0,75%|-12,28%|0.0|141476000.0|0.0|0,00%
122|TELB3|14.5|-9.83|0.88|3.005|0,00%|0.313|0.94|-4.09|-1.29|-0.5|-2.92|-73,50%|-30,55%|5.73|-11,44%|-8,93%|9255.37|1425650000.0|0.07|18,43%
123|NORD3|10.32|-9.73|-0.42|27.288|0,00%|3.535|-0.41|-278.89|-0.38|-433.68|-433.68|-9,78%|-280,55%|0.01|-1,29%|4,32%|5608.22|-162544000.0|-0.23|12,91%
124|ENJU3|2.49|-9.53|1.48|2.593|0,00%|1.222|2.14|-7.04|2.26|-3.39|-5.23|-36,83%|-27,23%|4.86|-56,33%|-15,59%|2418480.0|339836000.0|0.0|34,31%
125|TERI3|64.28|-8.83|0.29|0.107|0,00%|0.081|7.9|7.2|-0.26|39.56|39.56|1,49%|-1,91%|1.03|1,25%|-3,27%|0.0|3641000000.0|1.43|7,94%
126|COGN3|2.29|-8.72|0.37|0.739|0,00%|0.171|3.27|3.48|-0.58|8.32|5.4|21,26%|-8,79%|1.36|5,60%|-4,23%|78937000.0|11665400000.0|0.67|-4,05%
127|SEMP3|16.86|-8.12|1.36|15.081|0,00%|1.201|15.67|-4.42|15.67|-4.07|-4.07|-340,98%|-185,82%|1.64|-30,21%|-16,81%|0.0|118441000.0|0.0|-10,37%
128|BAHI11|2.0|-7.88|0.43|0.14|0,00%|0.089|-0.45|-9.4|-0.13|-24.29|12.34|-1,49%|-1,77%|0.33|-1,02%|-5,46%|0.0|122640000.0|0.98|57,20%
129|SZPQ4|6.64|-7.85|2.2|0.855|0,00%|0.744|2.62|-20.31|-3.17|-22.77|-22.77|-4,21%|-10,89%|2.97|-3,77%|-28,00%|0.0|684467000.0|0.3|-11,71%
130|JFEN3|1.5|-7.57|-0.51|4.405|0,00%|0.35|-1.44|-5.1|-0.36|-13.2|-13.46|-86,42%|-62,52%|0.77|-7,51%|6,68%|123070.0|-730972000.0|-0.83|-25,53%
131|MEDI3|11.55|-7.52|1.89|0.374|0,00%|0.824|-10.02|-9.11|-3.31|-6.61|-6.61|-4,11%|-4,98%|0.79|-12,30%|-25,13%|0.0|426164000.0|0.02|13,02%
132|EPAR3|7.49|-7.16|1.39|0.243|38,36%|1.096|4.51|6.8|10.32|6.42|2.66|3,58%|-3,40%|4.26|17,32%|-19,42%|107215.0|80079000.0|0.01|8,50%
133|ZAMP3|3.4|-7.02|0.71|0.235|0,00%|0.204|5.13|13.67|-0.51|25.7|3.41|1,72%|-3,35%|1.15|2,04%|-10,18%|3565910.0|1310440000.0|1.37|12,97%
134|TCNO3|1.2|-6.81|-8.4|0.0|0,00%|0.034|-0.08|-2.87|-0.04|-15.11|-17.45|0,00%|0,00%|0.28|-1,59%|123,36%|0.0|-946000.0|-35.76|-32,39%
135|TELB4|9.7|-6.58|0.59|2.01|0,00%|0.209|0.63|-2.74|-0.86|0.85|4.93|-73,50%|-30,55%|5.73|-11,44%|-8,93%|33382.0|1425650000.0|0.07|18,43%
136|AERI3|0.56|-6.53|0.61|0.246|0,00%|0.173|0.68|2.55|-4.57|4.87|3.93|9,63%|-3,76%|1.61|10,25%|-9,36%|1460090.0|1138260000.0|1.49|7,67%
137|QUAL3|1.71|-5.89|0.38|0.278|4,62%|0.108|1.54|1.1|-0.3|3.93|1.89|25,25%|-4,31%|1.24|14,53%|-6,49%|11756300.0|1270210000.0|1.76|-3,03%
138|MRFG3|9.39|-5.77|1.15|0.066|0,00%|0.067|0.88|8.93|-0.16|43.56|5.53|0,74%|-2,74%|1.24|1,06%|-19,89%|72833800.0|7631320000.0|7.32|30,42%
139|AALR3|11.03|-5.73|1.42|1.106|0,00%|0.489|-6.21|32.85|-1.09|53.66|13.93|3,37%|-18,53%|0.71|1,71%|-24,84%|1709780.0|917456000.0|1.14|3,51%
140|BLUT3|5.14|-5.63|0.46|0.0|0,00%|0.138|-0.76|-42.93|-0.2|-53.97|-53.97|0,00%|0,00%|0.0|-0,33%|-8,24%|3091.81|56569000.0|0.12|0,00%
141|BUET3|24.99|-5.46|-0.97|1.961|0,00%|0.572|-0.67|-13.13|-0.39|-22.6|-36.32|-14,93%|-35,93%|0.11|-5,95%|17,79%|0.0|-124674000.0|-0.7|4,55%
142|MEAL3|1.56|-5.45|0.44|0.201|0,00%|0.163|-10.45|-5.74|-0.37|-9.54|4.94|-3,50%|-3,68%|0.92|-3,43%|-8,02%|1853550.0|1022850000.0|0.52|14,12%
143|HETA4|6.3|-5.07|-0.01|0.85|0,00%|0.247|-1.15|1.48|-0.01|150.78|150.78|57,54%|-16,78%|0.49|16,71%|0,18%|1551.73|-351552000.0|-0.92|36,54%
144|TLCP3|48.0|-5.02|1.76|0.824|0,00%|0.533|-2.76|-26.61|-1.33|-43.86|-43.86|-3,10%|-16,40%|0.61|-2,52%|-35,04%|0.0|262979000.0|1.21|9,09%
145|LFFE4|3.89|-4.91|4.08|0.0|0,00%|3.599|0.0|-26.5|0.0|-23.11|10.9|0,00%|0,00%|0.0|0,00%|-83,10%|0.0|51892000.0|0.0|0,00%
146|CGOS3|26.2|-4.85|1.89|0.509|0,00%|0.167|-0.83|-256.6|-0.25|-570.29|-570.29|-0,20%|-10,48%|0.54|-0,08%|-39,02%|0.0|453387000.0|2.48|8,97%
147|TCNO4|0.85|-4.82|-5.95|0.0|0,00%|0.024|-0.06|-2.04|-0.03|-14.27|-16.48|0,00%|0,00%|0.28|-1,59%|123,36%|0.0|-946000.0|-35.76|-32,39%
148|SCLO4|0.41|-4.69|0.0|0.0|0,00%|0.021|0.0|-4.69|0.0|-326.2|-326.2|0,00%|0,00%|0.01|-0,47%|0,05%|0.0|-161270000.0|-0.17|-55,74%
149|AZEV3|1.41|-4.66|0.75|0.55|0,00%|0.327|-1.47|-2.44|-0.94|-2.83|-4.57|-22,52%|-11,82%|0.49|-14,93%|-16,02%|995894.0|317120000.0|0.12|294,16%
150|ANIM3|3.8|-4.66|0.64|0.411|0,00%|0.159|19.6|1.91|-0.31|7.15|4.29|21,48%|-5,71%|1.05|9,35%|-13,71%|24401100.0|2404490000.0|2.12|37,98%
151|AZEV4|1.35|-4.46|0.71|0.527|0,00%|0.313|-1.4|-2.34|-0.9|-2.72|-4.4|-22,52%|-11,82%|0.49|-14,93%|-16,02%|5984110.0|317120000.0|0.12|294,16%
152|PRML3|11.52|-4.41|1.98|18.612|0,00%|0.581|23.0|-30.33|-0.93|-63.15|1640.31|-61,36%|-424,99%|2.02|-1,96%|-44,84%|0.0|2192720000.0|2.18|32,85%
153|MOVI3|7.58|-4.22|1.09|0.266|0,00%|0.109|-1.36|1.77|-0.16|9.68|3.97|15,04%|-6,29%|0.73|8,99%|-25,81%|31044700.0|2522140000.0|6.07|32,82%
154|ADHM3|1.56|-4.09|-1.29|770.924|0,00%|105.126|-1.43|-5.69|-1.27|-5.69|-5.81|-13.548,50%|-18.860,60%|0.0|521,70%|31,47%|2064.0|-19776000.0|0.0|43,48%
155|BUET4|18.49|-4.04|-0.72|1.451|0,00%|0.423|-0.5|-9.72|-0.29|-19.18|-30.83|-14,93%|-35,93%|0.11|-5,95%|17,79%|0.0|-124674000.0|-0.7|4,55%
156|PMET5|0.65|-3.95|-0.16|4.518|0,00%|30.248|-0.22|89.99|-0.16|503.88|503.88|5,02%|-114,49%|0.01|38,97%|4,10%|0.0|-290863000.0|-0.74|37,74%
