|Papel|Cotação|P/L|P/VP|PSR|Div.Yield|P/Ativo|P/Cap.Giro|P/EBIT|P/Ativ Circ.Liq|EV/EBIT|EV/EBITDA|Mrg Ebit|Mrg. Líq.|Liq. Corr.|ROIC|ROE|Liq.2meses|Patrim. Líq|Dív.Brut/ Patrim.|Cresc. Rec.5a
928|CSAB3|30.5|58.43|1.11|312.32|0,00%|0.566|0.0|18.86|0.0|0.0|0.0|1.656,27%|534,53%|0.0|0,00%|1,89%|0.0|211654000.0|0.0|-17,83%
929|PATI4|33.0|58.86|0.94|0.42|6,39%|0.505|1.12|14.47|1.8|13.97|11.25|2,90%|0,71%|2.54|6,19%|1,60%|319.51|840564000.0|0.48|17,91%
930|AEDU3|18.35|59.34|3.32|4.141|0,00%|2.159|17.0|41.06|-21.55|43.27|29.01|10,08%|6,98%|2.04|5,77%|5,60%|0.0|2415400000.0|0.3|20,90%
931|FLCL3|11.5|61.24|14.13|3.981|0,00%|2.761|51.65|27.28|-5.83|30.93|23.77|14,59%|6,50%|1.19|12,28%|23,06%|0.0|366948000.0|2.48|-0,86%
932|SUBA3|84.0|61.95|8.39|8.067|0,00%|6.778|8.03|115.78|8.09|106.17|106.17|6,97%|13,02%|5.55|19,11%|13,54%|0.0|530396000.0|0.0|0,00%
933|MYPK3|12.56|62.82|0.52|0.129|0,70%|0.133|0.67|2.57|-0.66|7.64|4.7|5,02%|0,71%|1.63|7,77%|0,83%|13078100.0|3693630000.0|1.83|15,74%
934|PEAB4|41.73|65.02|1.15|15.921|2,52%|0.896|3.45|103.06|12.23|88.99|55.01|15,45%|24,49%|8.61|1,17%|1,77%|19003.1|685984000.0|0.17|-43,18%
935|FLCL5|12.5|66.57|15.35|4.327|0,00%|3.002|56.15|29.65|-6.34|33.3|25.59|14,59%|6,50%|1.19|12,28%|23,06%|0.0|366948000.0|2.48|-0,86%
936|VSTE3|13.4|67.06|1.48|1.376|0,35%|0.924|7.09|28.57|-16.09|33.56|8.05|4,82%|2,05%|1.7|3,55%|2,21%|115307.0|1032690000.0|0.3|9,19%
937|NINJ3|4.87|67.17|0.88|4.014|0,00%|0.832|0.91|-12.7|0.92|1.4|1.68|-31,61%|5,98%|17.7|-121,95%|1,32%|152313.0|280335000.0|0.0|11,37%
938|BRIV4|12.54|70.08|0.66|0.0|5,22%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,95%|41606.2|1671490000.0|0.0|-44,72%
939|LOGN3|40.1|71.43|4.57|1.836|0,00%|1.186|10.9|16.16|-2.73|20.17|10.86|11,36%|2,57%|1.55|8,94%|6,40%|1255120.0|939015000.0|1.73|24,67%
940|DAGB33|375.0|71.75|1.6|0.64|0,00%|0.51|15.24|11.87|-1.27|19.35|30.65|5,39%|1,67%|1.17|4,96%|2,24%|0.0|12597300000.0|1.18|32,08%
941|BRIV3|12.86|71.86|0.68|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,95%|7288.85|1671490000.0|0.0|-44,72%
942|CTPC3|0.2|76.36|1.08|0.0|0,00%|0.097|0.0|-16.86|0.0|-18.75|-18.75|0,00%|0,00%|0.0|0,00%|1,41%|0.0|2411000.0|0.0|-6,10%
943|PEAB3|50.0|77.91|1.38|19.076|1,83%|1.074|4.13|123.49|14.65|109.42|67.63|15,45%|24,49%|8.61|1,17%|1,77%|5546.02|685984000.0|0.17|-43,18%
944|ORVR3|39.9|82.51|4.69|4.264|0,00%|1.463|9.9|28.79|-3.58|36.06|14.68|14,81%|6,46%|2.29|6,01%|5,68%|12317300.0|706005000.0|1.59|23,03%
945|RLOG3|23.08|82.76|4.26|1.534|0,00%|0.229|1.49|5.32|-0.5|12.43|6.68|28,85%|7,07%|2.64|5,36%|5,15%|0.0|2507240000.0|9.08|8,76%
946|LCAM3|24.15|84.38|4.08|7.851|0,00%|3.0|19.26|27.34|-71.97|27.76|17.96|28,71%|9,30%|3.29|12,94%|4,84%|0.0|14894300000.0|0.21|20,35%
947|SRNA3|9.08|89.98|1.09|1.862|0,00%|0.329|-2.69|6.69|-0.57|17.49|11.22|27,82%|2,05%|0.5|5,33%|1,21%|20031200.0|5206790000.0|1.93|257,01%
948|ENEV3|12.72|92.6|1.63|1.998|0,00%|0.463|15.21|7.72|-0.89|14.28|8.83|25,86%|3,01%|1.28|6,50%|1,76%|102319000.0|12355100000.0|1.59|34,62%
949|CSAB4|48.97|93.81|1.78|501.453|0,00%|0.909|0.0|30.28|0.0|0.0|0.0|1.656,27%|534,53%|0.0|0,00%|1,89%|0.0|211654000.0|0.0|-17,83%
950|JALL3|7.05|98.38|1.03|1.277|6,10%|0.317|1.14|20.05|-1.0|47.37|6.19|6,37%|1,30%|3.88|1,94%|1,05%|4834960.0|2072120000.0|1.94|9,80%
951|MERC3|15.28|99.42|1.14|0.0|3,15%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|1,15%|0.0|241486000.0|0.0|-18,06%
952|HGTX3|37.5|101.99|3.57|4.178|0,00%|2.48|7.5|105.87|9.93|106.77|42.5|3,95%|4,10%|2.47|3,00%|3,51%|0.0|1704940000.0|0.12|-4,62%
953|PQUN4|15.44|104.31|1.88|0.545|0,00%|0.523|7.57|19.5|-0.97|40.25|40.25|2,80%|0,52%|1.61|3,02%|1,81%|0.0|858692000.0|2.28|5,19%
954|PQUN3|15.44|104.31|1.88|0.545|0,00%|0.523|7.57|19.5|-0.97|40.25|40.25|2,80%|0,52%|1.61|3,02%|1,81%|0.0|858692000.0|2.28|5,19%
955|TMAR6|42.01|112.59|0.71|0.519|0,00%|0.181|1.49|4.04|-0.5|8.29|3.21|12,84%|-0,42%|1.62|5,78%|0,63%|0.0|20448500000.0|1.38|14,80%
956|TMAR5|42.67|114.35|0.72|0.527|0,00%|0.184|1.51|4.1|-0.51|8.35|3.24|12,84%|-0,42%|1.62|5,78%|0,63%|0.0|20448500000.0|1.38|14,80%
957|ROMI4|185.0|118.09|14.64|14.65|0,00%|7.628|22.34|195.06|56.34|199.93|122.79|7,51%|12,46%|2.25|4,71%|12,40%|0.0|1177370000.0|0.62|12,35%
958|NETC3|38.5|123.1|2.12|1.29|0,00%|1.074|-33.02|10.82|-2.96|12.15|5.27|11,93%|1,55%|0.8|10,95%|1,72%|0.0|6812390000.0|0.28|66,63%
959|NETC4|40.0|127.89|2.2|1.34|0,00%|1.116|-34.31|11.24|-3.08|12.57|5.45|11,93%|1,55%|0.8|10,95%|1,72%|0.0|6812390000.0|0.28|66,63%
960|MLFT4|22.39|139.4|11.13|40.264|0,00%|6.071|44.22|76.29|-29.21|79.12|61.62|52,78%|29,16%|2.26|10,05%|7,98%|0.0|4234480000.0|0.79|14,49%
961|AURA33|39.27|144.05|1.83|1.245|4,98%|0.605|3.1|5.01|-2.18|6.02|6.02|24,85%|0,86%|1.99|17,77%|1,27%|3193830.0|1520520000.0|1.07|1,56%
962|PETZ3|5.15|145.7|1.32|0.751|0,18%|0.596|3.85|13.36|-2.95|13.41|4.77|5,62%|0,52%|1.81|5,64%|0,90%|93678600.0|1808890000.0|0.24|35,22%
963|ENAT3|26.9|157.65|1.72|4.065|0,00%|0.813|5.13|29.62|-3.48|34.12|7.68|13,73%|2,58%|2.17|3,74%|1,09%|78613900.0|4154130000.0|0.74|17,84%
964|MYPK4|31.79|159.01|1.32|0.327|0,00%|0.336|1.69|6.51|-1.67|11.58|7.12|5,02%|0,71%|1.63|7,77%|0,83%|0.0|3693630000.0|1.83|15,74%
965|TMAR3|62.0|166.16|1.04|0.765|0,00%|0.268|2.2|5.96|-0.74|10.21|3.96|12,84%|-0,42%|1.62|5,78%|0,63%|0.0|20448500000.0|1.38|14,80%
966|GUAR3|8.4|171.76|0.82|0.468|0,00%|0.308|1.21|9.18|57.99|11.24|4.69|5,10%|0,27%|1.68|4,44%|0,48%|23697600.0|5108920000.0|0.62|6,74%
967|CEPE5|40.12|187.09|1.83|0.354|0,00%|0.206|4.91|2.45|-0.35|8.62|6.41|14,43%|0,19%|1.17|9,89%|0,98%|0.0|1632000000.0|5.42|4,47%
968|HBSA3|4.41|190.54|2.42|1.743|0,00%|0.537|5.81|8.86|-0.95|18.06|9.43|19,67%|0,91%|1.78|7,19%|1,27%|37739300.0|1383520000.0|3.11|17,67%
969|CEPE6|43.0|200.52|1.97|0.379|0,00%|0.221|5.26|2.63|-0.37|8.8|6.54|14,43%|0,19%|1.17|9,89%|0,98%|0.0|1632000000.0|5.42|4,47%
970|CASN3|10.45|214.11|5.42|6.649|0,11%|2.166|59.11|42.89|-5.19|49.75|27.36|15,50%|3,11%|1.25|5,68%|2,53%|0.0|2003580000.0|1.09|10,05%
971|BIDI3|3.4|225.51|1.06|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,47%|0.0|8348550000.0|0.0|37,00%
972|BIDI4|3.41|226.17|1.06|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,47%|0.0|8348550000.0|0.0|37,00%
973|BIDI11|10.4|229.93|1.08|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,47%|0.0|8348550000.0|0.0|37,00%
974|ELEV3|24.3|312.39|3.22|0.688|0,00%|0.954|5.75|37.19|-5.18|51.41|51.41|1,85%|0,27%|1.47|3,01%|1,03%|0.0|489356000.0|1.35|3,69%
975|RHDS4|1.0|363.45|29.5|4.977|0,00%|7.182|-593.56|68.11|-24.55|71.32|53.72|7,31%|1,17%|0.97|11,80%|8,12%|0.0|272045000.0|1.49|4,38%
976|AESB3|9.52|415.21|1.3|1.65|0,78%|0.293|-2.26|5.93|-0.5|15.98|8.05|27,84%|4,91%|0.52|5,53%|0,31%|21151100.0|4394450000.0|2.62|14,89%
977|PRBC4|14.54|490.12|39.47|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|8,05%|0.0|1200190000.0|0.0|-7,50%
978|CEPE3|128.0|596.9|5.85|1.129|0,00%|0.658|15.66|7.82|-1.11|13.99|10.41|14,43%|0,19%|1.17|9,89%|0,98%|0.0|1632000000.0|5.42|4,47%
979|UBBR4|7.49|610.27|1.99|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,33%|0.0|10317200000.0|0.0|10,58%
980|DOHL4|4.57|740.25|0.49|0.559|0,00%|0.353|0.76|-88.96|1.25|-108.73|29.72|-0,63%|0,08%|6.04|-0,43%|0,07%|8462.61|708206000.0|0.17|6,43%
981|DOHL3|6.2|1004.28|0.66|0.759|0,00%|0.479|1.03|-120.69|1.69|-140.46|38.39|-0,63%|0,08%|6.04|-0,43%|0,07%|171.76|708206000.0|0.17|6,43%
982|UBBR11|14.75|1201.81|3.91|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,33%|0.0|10317200000.0|0.0|10,58%
983|UBBR3|18.0|1466.61|4.77|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|0,33%|0.0|10317200000.0|0.0|10,58%
984|CEAB3|12.2|1610.53|1.25|0.56|0,00%|0.399|3.03|6.81|-1.92|7.43|3.17|8,22%|0,03%|1.39|8,47%|0,08%|39949400.0|3012720000.0|0.56|9,36%
985|GUAR4|151.0|3087.67|14.75|8.411|0,00%|5.531|21.75|165.04|1042.44|167.1|69.78|5,10%|0,27%|1.68|4,44%|0,48%|0.0|5108920000.0|0.62|6,74%
